Place,State,Place Type,Status,Note,Link1 Text,Link1 URL,Link2 Text,Link2 URL
Maryland,Maryland,State,Proposed,2 active bills,HB 1178 – Enablement,https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/HB1178?ys=2025rs,,
Maryland,Maryland,State,Proposed,,"SB 472 – TOD, passed Senate",https://mgaleg.maryland.gov/mgawebsite/Legislation/Details/sb0472?ys=2025RS,,
Maine,Maine,State,Active Legislation,Split-rate bill,HP 956,https://legislature.maine.gov/billtracker/#Paper/1464?legislature=132,,
Minnesota,Minnesota,State,Active Legislation,Enablement bill,SF 1422,https://www.revisor.mn.gov/bills/bill.php?b=senate&f=SF1422&ssn=0&y=2025,,
New York,New York,State,Active Legislation,Enablement bill,S 1131A,"https://www.nysenate.gov/legislation/bills/2025/S1131/amendment/A#:~:text=This%20bill%20establishes%20a%20pilot,IMPLICATIONS%3A%20None%20to%20the%20State.",,
Buffalo,New York,City,Adopted,Resolution,Buffalo resolution,https://www.investigativepost.org/2023/02/15/buffalo-council-urges-state-to-allow-land-value-tax/,,
Virginia,Virginia,State,Active Legislation,Enablement bill,HB262,https://legacylis.virginia.gov/cgi-bin/legp604.exe?ses=241&typ=bil&val=HB262,,
Michigan,Michigan,State,Active Legislation,Enabling bill (2023),HB 4966 (2023),https://www.legislature.mi.gov/Bills/Bill?ObjectName=2023-HB-4966,,
Detroit,Michigan,City,Emerging Interest,Local Interest,Detroit Interest,https://detroitmi.gov/departments/office-chief-financial-officer/land-value-tax-plan,,
Spokane,Washington,City,Emerging Interest,Spokane resolution,Spokane resolution,https://www.kxly.com/news/spokane-city-council-explores-land-value-tax-model-to-promote-community-growth/article_07b46ba6-b42d-11ef-a914-23f84fca6f7f.html,,
Colorado,Colorado,State,Active Legislation,Enablement Bill,SCR24B-001,https://leg.colorado.gov/bills/scr24b-001,,
Denver,Colorado,City,Emerging Interest,,Denver interest,https://progressandpovertyinstitute.org/building-momentum-for-land-value-tax-in-colorado-an-update-from-denver/,,
Ohio,Ohio,State,Active Legislation,Enablement Bill,S.J.R 07,https://ohiosenate.gov/legislation/136/sjr7,,
New Hampshire,New Hampshire,State,Active Legislation,Enablement Bill,HB1417,https://gc.nh.gov/bill_status/billinfo.aspx?id=2398&inflect=2,,
